ktotrilcStubStub TODialogoImpresionLotesConta
Ktotrpa5Stub TOVentanaBusquedaCuentasIn
TOconsultaCiStub TOVentanaBusquedaCuentasIn
Ktotr031Stub TOVentanaBusquedaCuentasRe
LIQUIDACIONStub TOVentanaBusquedaCuentasRe
Ktotr060Stub TOVentanaBusquedaListaApuntesContables
Ktotr050Stub TOVentanaBusquedaPlantillas
Ktotrx01Stub TOVentanaBusquedaPPA
Ktotr046Stub TOVentanaCalculoProvisionesTecnicas
Ktotrc54Stub TOVentanaCalculoProvisionesTecnicas
TOMantptStub TOVentanaCalculoProvisionesTecnicas
Ktotrco3Stub TOVentanaCobrosReintegros
Ktotrpa4Stub TOVentanaCobrosReintegros
Ktotrpa7Stub TOVentanaCobrosReintegros
TNOtrosCobrosPagosStub TOVentanaCobrosReintegros
TOCobros1Stub TOVentanaCobrosReintegros
TOCobros2Stub TOVentanaCobrosReintegros
TOSapStub TOVentanaCobrosReintegros
Ktotr046Stub TOVentanaConfirmacionProvisionesTecnicas
KtotrcptStub TOVentanaConfirmacionProvisionesTecnicas
Ktotr050Stub TOVentanaConsProcContable
Ktotr050Stub TOVentanaConsRefeConta
Ktotr060Stub TOVentanaConsultaApuntes
Ktotr061Stub TOVentanaConsultaApuntes
Ktotrx01Stub TOVentanaConsultaCuentas
Ktotr046Stub TOVentanaConsultaCuentasRe
Ktotrx01Stub TOVentanaConsultaPPA
TNOtrosCobrosPagosStub TOVentanaConsultaPPA
TOCobros1Stub TOVentanaConsultaPPA
TOCobros2Stub TOVentanaConsultaPPA
Ktotrj00Stub TOVentanaControlProcesoContabilizacion
TOPagos2Stub TOVentanaCriteriosPagosDistribuidosSiniestros
Ktotrj20Stub TOVentanaCtrolIncidenciasContabilizacion
Ktotr046Stub TOVentanaDetalleCuentaCg
Ktotrpa5Stub TOVentanaDetalleCuentaCg
TOMantenMmcStub TOVentanaDetalleCuentaCg
Ktotr048Stub TOVentanaDetalleCuentaIn
Ktotrpa5Stub TOVentanaDetalleCuentaIn
TOMantenMmiStub TOVentanaDetalleCuentaIn
Ktotr046Stub TOVentanaDetalleCuentaRe
Ktotrpa5Stub TOVentanaDetalleCuentaRe
ToMantenMmrStub TOVentanaDetalleCuentaRe
StubKtotrcmcStub TOVentanaExtractoReferenciaCMCDetalle
StubKtotrcmcStub TOVentanaExtractoReferenciaCMCLista
Ktotrpa5Stub TOVentanaGestionCobros
TNOtrosCobrosPagosStub TOVentanaGestionCobros
TOCobros1Stub TOVentanaGestionCobros
TOCobros2Stub TOVentanaGestionCobros
TOPagos2Stub TOVentanaGestionCobros
KtotranuStub TOVentanaGestionPagos
Ktotrpa6Stub TOVentanaGestionPagos
TNOtrosCobrosPagosStub TOVentanaGestionPagos
TOCobros2Stub TOVentanaGestionPagos
TOPagosStub TOVentanaGestionPagos
TOCobros1Stub TOVentanaGestionReintegros
PAGOCHEQUEStub TOVentanaImpresionCheques
TNOtrosCobrosPagosStub TOVentanaImpresionCheques
TOPagos2Stub TOVentanaImpresionCheques
LIQUIDACIONStub TOVentanaLiquidacionCORE
LIQUIDACIONStub TOVentanaMantenimientoLiquidacionCORE
Ktotrpa6Stub TOVentanaMantenimientoTC
Ktotrpa7Stub TOVentanaMantenimientoTC
TOPagosStub TOVentanaMinuta
TOMantMovManualesStub TOVentanaMovimientosManualesCg
TOMantenMmcStub TOVentanaMovimientosManualesCg
TOMantMovManualesStub TOVentanaMovimientosManualesIn
TOMantenMmiStub TOVentanaMovimientosManualesIn
TOconsultaCiStub TOVentanaMovimientosManualesIn
TOMantMovManualesStub TOVentanaMovimientosManualesRe
ToMantenMmrStub TOVentanaMovimientosManualesRe
TNOtrosCobrosPagosStub TOVentanaMttoAgrupaTransf
Ktotr050Stub TOVentanaMttoPlantillas
TOCobros1Stub TOVentanaMttoReintegros
TOTransferenciasStub TOVentanaMttoRemesa
TOPagos2Stub TOVentanaPagos
Ktotrpa4Stub TOVentanaPagosCORE
TOPagos2Stub TOVentanaPagosDistribuidos
TOPagosStub TOVentanaPagosDistribuidos
Ktotrpa4Stub TOVentanaPagosIntermediarios
Ktotr090Stub TOVentanaPlanContable
ServidorKTOTRPAUStub TOVentanaPreAutorizaciones
ServidorKTOTRPAUStub TOVentanaPreAutorizacionesBusqueda
ServidorKTOTRPAUStub TOVentanaPreAutorizacionesHistorico
TORemesasStub TOVentanaRemesaTr
TOTransferenciasStub TOVentanaRemesaTr
Ktotrx01Stub TOVentanaTraspasoPPA
TOMantMovManualesStub TOVentanaTraspasosSobreCuentasIn
